depth, elements, relations, ram, duration, elements;
4, 4, 4, 559, 9953, 12435, 
4, 4, 4, 559, 10072, 12435, 
4, 4, 4, 558, 9950, 12435, 
4, 4, 4, 559, 10019, 12435, 
4, 4, 4, 559, 9788, 12435, 
4, 4, 4, 559, 10186, 12435, 
4, 4, 4, 560, 10107, 12435, 
4, 4, 4, 559, 9842, 12435, 
4, 4, 4, 559, 9763, 12435, 
4, 4, 4, 559, 9976, 12435, 
4, 4, 4, 559, 10046, 12435, 
4, 4, 4, 559, 9861, 12435, 
4, 4, 4, 559, 9793, 12435, 
4, 4, 4, 559, 9616, 12435, 
4, 4, 4, 559, 9908, 12435, 
4, 4, 4, 559, 9842, 12435, 
4, 4, 4, 560, 9875, 12435, 
4, 4, 4, 558, 9877, 12435, 
4, 4, 4, 559, 10047, 12435, 
4, 4, 4, 558, 9833, 12435, 
4, 4, 4, 559, 10073, 12435, 
4, 4, 4, 559, 9854, 12435, 
4, 4, 4, 561, 9872, 12435, 
4, 4, 4, 559, 10079, 12435, 
4, 4, 4, 558, 9480, 12435, 
4, 4, 4, 559, 9994, 12435, 
4, 4, 4, 559, 9882, 12435, 
4, 4, 4, 559, 10039, 12435, 
4, 4, 4, 559, 10052, 12435, 
4, 4, 4, 560, 9917, 12435, 
4, 4, 4, 559, 9964, 12435, 
4, 4, 4, 559, 10140, 12435, 
4, 4, 4, 559, 10035, 12435, 
4, 4, 4, 560, 9747, 12435, 
4, 4, 4, 559, 10094, 12435, 
4, 4, 4, 559, 9964, 12435, 
4, 4, 4, 560, 10048, 12435, 
4, 4, 4, 562, 10172, 12435, 
4, 4, 4, 559, 10046, 12435, 
4, 4, 4, 559, 9803, 12435, 
4, 4, 4, 559, 10175, 12435, 
4, 4, 4, 560, 9993, 12435, 
4, 4, 4, 559, 9636, 12435, 
4, 4, 4, 559, 9860, 12435, 
4, 4, 4, 560, 9839, 12435, 
4, 4, 4, 558, 10196, 12435, 
4, 4, 4, 559, 10086, 12435, 
4, 4, 4, 560, 10024, 12435, 
4, 4, 4, 559, 9975, 12435, 
4, 4, 4, 560, 9830, 12435, 
4, 4, 4, 559, 9942, 12435, 
4, 4, 4, 560, 9934, 12435, 
4, 4, 4, 559, 9773, 12435, 
4, 4, 4, 559, 9776, 12435, 
4, 4, 4, 559, 9974, 12435, 
4, 4, 4, 559, 10110, 12435, 
4, 4, 4, 559, 10256, 12435, 
4, 4, 4, 560, 10073, 12435, 
4, 4, 4, 559, 9852, 12435, 
4, 4, 4, 560, 9985, 12435, 
4, 4, 4, 559, 10150, 12435, 
4, 4, 4, 561, 9959, 12435, 
4, 4, 4, 559, 10033, 12435, 
4, 4, 4, 559, 9968, 12435, 
4, 4, 4, 559, 9902, 12435, 
4, 4, 4, 559, 9992, 12435, 
4, 4, 4, 559, 9838, 12435, 
4, 4, 4, 560, 9740, 12435, 
4, 4, 4, 559, 9936, 12435, 
4, 4, 4, 560, 9753, 12435, 
4, 4, 4, 558, 10915, 12435, 
4, 4, 4, 559, 11503, 12435, 
4, 4, 4, 560, 11363, 12435, 
4, 4, 4, 560, 12028, 12435, 
4, 4, 4, 560, 9528, 12435, 
4, 4, 4, 560, 11015, 12435, 
4, 4, 4, 560, 9980, 12435, 
4, 4, 4, 559, 9797, 12435, 
4, 4, 4, 560, 9725, 12435, 
4, 4, 4, 562, 9610, 12435, 
4, 4, 4, 560, 9560, 12435, 
4, 4, 4, 559, 10036, 12435, 
4, 4, 4, 560, 9909, 12435, 
4, 4, 4, 559, 9966, 12435, 
4, 4, 4, 559, 9976, 12435, 
4, 4, 4, 560, 9812, 12435, 
4, 4, 4, 560, 10367, 12435, 
4, 4, 4, 560, 9770, 12435, 
4, 4, 4, 560, 9818, 12435, 
4, 4, 4, 560, 10026, 12435, 
4, 4, 4, 559, 10588, 12435, 
4, 4, 4, 561, 9978, 12435, 
4, 4, 4, 560, 9704, 12435, 
4, 4, 4, 560, 10522, 12435, 
4, 4, 4, 560, 10550, 12435, 
4, 4, 4, 560, 10698, 12435, 
4, 4, 4, 560, 10674, 12435, 
4, 4, 4, 560, 10290, 12435, 
4, 4, 4, 560, 11283, 12435, 
4, 4, 4, 560, 10869, 12435, 
4, 4, 4, 560, 10009, 12435, 
4, 4, 4, 560, 9809, 12435, 
4, 4, 4, 560, 9773, 12435, 
4, 4, 4, 560, 9712, 12435, 
4, 4, 4, 561, 9976, 12435, 
4, 4, 4, 561, 10069, 12435, 
4, 4, 4, 560, 9768, 12435, 
4, 4, 4, 559, 9753, 12435, 
4, 4, 4, 560, 9658, 12435, 
4, 4, 4, 560, 9734, 12435, 
4, 4, 4, 560, 9778, 12435, 
4, 4, 4, 560, 9800, 12435, 
