depth, elements, relations, ram, duration, elements;
2, 4, 2, 69, 1400, 251, 
2, 4, 2, 67, 529, 251, 
2, 4, 2, 59, 433, 251, 
2, 4, 2, 67, 431, 251, 
2, 4, 2, 66, 323, 251, 
2, 4, 2, 59, 338, 251, 
2, 4, 2, 59, 306, 251, 
2, 4, 2, 59, 312, 251, 
2, 4, 2, 65, 320, 251, 
2, 4, 2, 60, 309, 251, 
2, 4, 2, 62, 315, 251, 
2, 4, 2, 69, 312, 251, 
2, 4, 2, 59, 296, 251, 
2, 4, 2, 68, 313, 251, 
2, 4, 2, 59, 330, 251, 
2, 4, 2, 60, 342, 251, 
2, 4, 2, 60, 325, 251, 
2, 4, 2, 63, 402, 251, 
2, 4, 2, 60, 482, 251, 
2, 4, 2, 69, 321, 251, 
2, 4, 2, 60, 451, 251, 
2, 4, 2, 65, 313, 251, 
2, 4, 2, 67, 315, 251, 
2, 4, 2, 65, 362, 251, 
2, 4, 2, 60, 355, 251, 
2, 4, 2, 60, 382, 251, 
2, 4, 2, 69, 288, 251, 
2, 4, 2, 60, 353, 251, 
2, 4, 2, 60, 330, 251, 
2, 4, 2, 65, 366, 251, 
2, 4, 2, 69, 369, 251, 
2, 4, 2, 77, 366, 251, 
2, 4, 2, 67, 307, 251, 
2, 4, 2, 69, 281, 251, 
2, 4, 2, 60, 312, 251, 
2, 4, 2, 60, 273, 251, 
2, 4, 2, 60, 300, 251, 
2, 4, 2, 60, 230, 251, 
2, 4, 2, 65, 287, 251, 
2, 4, 2, 68, 274, 251, 
2, 4, 2, 71, 239, 251, 
2, 4, 2, 64, 248, 251, 
2, 4, 2, 69, 267, 251, 
2, 4, 2, 65, 283, 251, 
2, 4, 2, 64, 261, 251, 
2, 4, 2, 68, 316, 251, 
2, 4, 2, 69, 233, 251, 
2, 4, 2, 65, 315, 251, 
2, 4, 2, 60, 302, 251, 
2, 4, 2, 60, 290, 251, 
2, 4, 2, 60, 302, 251, 
2, 4, 2, 67, 245, 251, 
2, 4, 2, 66, 272, 251, 
2, 4, 2, 62, 239, 251, 
2, 4, 2, 67, 252, 251, 
2, 4, 2, 62, 250, 251, 
2, 4, 2, 69, 238, 251, 
2, 4, 2, 61, 262, 251, 
2, 4, 2, 65, 230, 251, 
2, 4, 2, 66, 233, 251, 
2, 4, 2, 60, 223, 251, 
2, 4, 2, 68, 240, 251, 
2, 4, 2, 66, 235, 251, 
2, 4, 2, 61, 266, 251, 
2, 4, 2, 62, 230, 251, 
2, 4, 2, 69, 249, 251, 
2, 4, 2, 69, 214, 251, 
2, 4, 2, 65, 244, 251, 
2, 4, 2, 68, 257, 251, 
2, 4, 2, 66, 227, 251, 
2, 4, 2, 67, 254, 251, 
2, 4, 2, 67, 317, 251, 
2, 4, 2, 60, 283, 251, 
2, 4, 2, 63, 279, 251, 
2, 4, 2, 61, 228, 251, 
2, 4, 2, 65, 224, 251, 
2, 4, 2, 68, 229, 251, 
2, 4, 2, 65, 222, 251, 
2, 4, 2, 60, 249, 251, 
2, 4, 2, 66, 270, 251, 
2, 4, 2, 63, 241, 251, 
2, 4, 2, 69, 250, 251, 
2, 4, 2, 65, 250, 251, 
2, 4, 2, 68, 227, 251, 
2, 4, 2, 69, 248, 251, 
2, 4, 2, 61, 231, 251, 
2, 4, 2, 66, 227, 251, 
2, 4, 2, 63, 275, 251, 
2, 4, 2, 65, 284, 251, 
2, 4, 2, 67, 251, 251, 
2, 4, 2, 69, 235, 251, 
2, 4, 2, 68, 250, 251, 
2, 4, 2, 66, 226, 251, 
2, 4, 2, 61, 351, 251, 
2, 4, 2, 66, 295, 251, 
2, 4, 2, 62, 259, 251, 
2, 4, 2, 65, 374, 251, 
2, 4, 2, 69, 257, 251, 
2, 4, 2, 68, 237, 251, 
2, 4, 2, 67, 248, 251, 
2, 4, 2, 61, 221, 251, 
2, 4, 2, 61, 255, 251, 
2, 4, 2, 66, 250, 251, 
2, 4, 2, 67, 256, 251, 
2, 4, 2, 67, 218, 251, 
2, 4, 2, 67, 251, 251, 
2, 4, 2, 64, 249, 251, 
2, 4, 2, 66, 224, 251, 
2, 4, 2, 63, 216, 251, 
2, 4, 2, 67, 227, 251, 
2, 4, 2, 62, 228, 251, 
2, 4, 2, 67, 219, 251, 
2, 4, 2, 64, 218, 251, 
2, 4, 2, 62, 217, 251, 
2, 4, 2, 63, 206, 251, 
2, 4, 2, 61, 244, 251, 
2, 4, 2, 70, 229, 251, 
2, 4, 2, 68, 223, 251, 
2, 4, 2, 65, 235, 251, 
2, 4, 2, 65, 231, 251, 
2, 4, 2, 67, 216, 251, 
2, 4, 2, 69, 227, 251, 
2, 4, 2, 64, 236, 251, 
2, 4, 2, 67, 216, 251, 
2, 4, 2, 67, 252, 251, 
2, 4, 2, 67, 225, 251, 
2, 4, 2, 65, 237, 251, 
2, 4, 2, 68, 246, 251, 
2, 4, 2, 70, 226, 251, 
2, 4, 2, 61, 256, 251, 
2, 4, 2, 70, 239, 251, 
2, 4, 2, 67, 220, 251, 
2, 4, 2, 64, 210, 251, 
2, 4, 2, 70, 242, 251, 
2, 4, 2, 69, 232, 251, 
2, 4, 2, 62, 222, 251, 
2, 4, 2, 69, 250, 251, 
2, 4, 2, 66, 237, 251, 
2, 4, 2, 68, 204, 251, 
2, 4, 2, 71, 219, 251, 
2, 4, 2, 64, 224, 251, 
2, 4, 2, 61, 237, 251, 
2, 4, 2, 71, 222, 251, 
2, 4, 2, 62, 224, 251, 
2, 4, 2, 67, 236, 251, 
2, 4, 2, 68, 226, 251, 
2, 4, 2, 70, 207, 251, 
2, 4, 2, 72, 220, 251, 
2, 4, 2, 71, 221, 251, 
2, 4, 2, 68, 266, 251, 
2, 4, 2, 70, 212, 251, 
2, 4, 2, 69, 238, 251, 
2, 4, 2, 66, 254, 251, 
2, 4, 2, 68, 244, 251, 
2, 4, 2, 66, 256, 251, 
2, 4, 2, 69, 246, 251, 
2, 4, 2, 69, 220, 251, 
2, 4, 2, 65, 252, 251, 
2, 4, 2, 67, 240, 251, 
2, 4, 2, 62, 232, 251, 
2, 4, 2, 61, 224, 251, 
2, 4, 2, 71, 244, 251, 
2, 4, 2, 61, 229, 251, 
2, 4, 2, 68, 286, 251, 
2, 4, 2, 64, 216, 251, 
2, 4, 2, 64, 220, 251, 
2, 4, 2, 70, 233, 251, 
2, 4, 2, 67, 235, 251, 
2, 4, 2, 64, 208, 251, 
2, 4, 2, 68, 233, 251, 
2, 4, 2, 63, 202, 251, 
2, 4, 2, 71, 218, 251, 
2, 4, 2, 70, 233, 251, 
2, 4, 2, 69, 232, 251, 
2, 4, 2, 61, 226, 251, 
2, 4, 2, 68, 245, 251, 
2, 4, 2, 65, 222, 251, 
2, 4, 2, 64, 265, 251, 
2, 4, 2, 68, 204, 251, 
2, 4, 2, 62, 231, 251, 
2, 4, 2, 70, 222, 251, 
2, 4, 2, 68, 245, 251, 
2, 4, 2, 67, 209, 251, 
2, 4, 2, 67, 233, 251, 
2, 4, 2, 62, 203, 251, 
2, 4, 2, 70, 239, 251, 
2, 4, 2, 69, 222, 251, 
2, 4, 2, 63, 226, 251, 
2, 4, 2, 73, 240, 251, 
2, 4, 2, 70, 221, 251, 
2, 4, 2, 73, 221, 251, 
2, 4, 2, 64, 236, 251, 
2, 4, 2, 66, 204, 251, 
2, 4, 2, 69, 246, 251, 
2, 4, 2, 63, 212, 251, 
2, 4, 2, 62, 204, 251, 
2, 4, 2, 65, 203, 251, 
2, 4, 2, 68, 286, 251, 
2, 4, 2, 66, 217, 251, 
2, 4, 2, 68, 228, 251, 
