duration, ram;
39623, 2479, 
35172, 2474, 
38411, 2464, 
40106, 2474, 
41620, 2484, 
40235, 2469, 
39042, 2490, 
41810, 2471, 
36991, 2485, 
37947, 2478, 
31662, 1495, 
42026, 101, 
31759, 2412, 
35450, 2472, 
36037, 2476, 
40543, 2468, 
45622, 2476, 
38857, 1436, 
42133, 2473, 
43688, 2470, 
45739, 2471, 
44965, 2470, 
37126, 2263, 
33115, 189, 
35428, 2059, 
37652, 2475, 
33471, 2485, 
41306, 2426, 
38489, 101, 
38198, 2472, 
38712, 2474, 
34237, 2345, 
37838, 2475, 
39664, 2285, 
38300, 1420, 
35278, 2436, 
34848, 2473, 
41055, 2475, 
45432, 2453, 
35319, 2478, 
37101, 101, 
37663, 2435, 
40978, 2451, 
35359, 2472, 
39881, 2473, 
37565, 2488, 
34212, 2470, 
35486, 2477, 
37412, 2474, 
36920, 103, 
39316, 1429, 
34777, 2475, 
33787, 2482, 
39283, 2435, 
38574, 1082, 
40121, 1567, 
36636, 1359, 
42239, 2471, 
40584, 2474, 
43781, 2487, 
35465, 2472, 
42221, 2476, 
48740, 2466, 
47275, 2481, 
49707, 2424, 
52839, 2475, 
50283, 2473, 
50138, 107, 
41903, 2476, 
45340, 2437, 
40376, 2478, 
44856, 2296, 
42272, 2409, 
47989, 103, 
46386, 1340, 
39884, 2474, 
43290, 2473, 
39153, 1392, 
41623, 2466, 
40533, 2469, 
39451, 2325, 
41204, 2473, 
42712, 2488, 
44631, 2473, 
42621, 2475, 
46585, 2476, 
43651, 2477, 
47470, 2474, 
43782, 1262, 
41393, 2474, 
38319, 2332, 
41792, 2475, 
44390, 2473, 
43642, 1436, 
41172, 2477, 
41997, 2468, 
46769, 2472, 
41651, 135, 
40985, 2474, 
44372, 2471, 
41005, 2480, 
47296, 2477, 
42942, 102, 
41637, 195, 
43490, 2474, 
41764, 2479, 
45022, 2478, 
44229, 2475, 
44142, 2472, 
48134, 2487, 
43048, 2474, 
44232, 313, 
46240, 1268, 
41072, 105, 
45786, 1267, 
47543, 2493, 
45714, 2472, 
43723, 128, 
39946, 107, 
44727, 2477, 
44562, 102, 
40730, 1684, 
54727, 2474, 
43942, 1467, 
43302, 1312, 
40818, 2472, 
46715, 2486, 
47332, 2471, 
42877, 2296, 
41522, 2477, 
45133, 2477, 
55263, 2471, 
45419, 2409, 
42946, 105, 
41698, 2474, 
42636, 102, 
43546, 2477, 
42509, 2474, 
42589, 2472, 
37362, 2472, 
42376, 2478, 
35875, 2474, 
41365, 2476, 
43248, 2473, 
33727, 1698, 
33496, 2488, 
33983, 2488, 
37611, 274, 
36317, 103, 
34153, 102, 
36379, 214, 
34010, 130, 
33677, 2429, 
33009, 2479, 
31286, 2472, 
33650, 1449, 
35924, 2472, 
34531, 2477, 
34881, 2474, 
35383, 102, 
35461, 1646, 
42516, 102, 
35067, 175, 
38136, 2472, 
32303, 2476, 
33903, 2471, 
30378, 2410, 
34222, 2474, 
46326, 2452, 
33723, 104, 
30825, 2490, 
35145, 2476, 
38770, 2474, 
38488, 2393, 
33019, 2477, 
35872, 1241, 
34705, 2474, 
37236, 2473, 
35901, 1353, 
41165, 2476, 
32231, 2487, 
34397, 2473, 
36629, 1149, 
35667, 2474, 
38305, 2471, 
41691, 2473, 
35323, 121, 
38195, 2473, 
34215, 2476, 
30352, 2486, 
30916, 2169, 
35785, 2479, 
40447, 2480, 
36094, 2473, 
34914, 2236, 
35360, 2453, 
38298, 1076, 
35033, 2488, 
32031, 1929, 
32902, 1160, 
