depth, elements, relations, ram, duration, elements;
4, 2, 50, 142, 1046, 1517, 
4, 2, 50, 141, 1003, 1517, 
4, 2, 50, 141, 1054, 1517, 
4, 2, 50, 141, 993, 1517, 
4, 2, 50, 141, 977, 1517, 
4, 2, 50, 142, 993, 1517, 
4, 2, 50, 141, 1003, 1517, 
4, 2, 50, 141, 1009, 1517, 
4, 2, 50, 141, 1010, 1517, 
4, 2, 50, 141, 1017, 1517, 
4, 2, 50, 142, 991, 1517, 
4, 2, 50, 141, 974, 1517, 
4, 2, 50, 142, 994, 1517, 
4, 2, 50, 141, 984, 1517, 
4, 2, 50, 142, 996, 1517, 
4, 2, 50, 142, 1007, 1517, 
4, 2, 50, 142, 992, 1517, 
4, 2, 50, 142, 1023, 1517, 
4, 2, 50, 142, 999, 1517, 
4, 2, 50, 142, 1010, 1517, 
4, 2, 50, 142, 997, 1517, 
4, 2, 50, 142, 975, 1517, 
4, 2, 50, 142, 973, 1517, 
4, 2, 50, 142, 985, 1517, 
4, 2, 50, 142, 1002, 1517, 
4, 2, 50, 142, 997, 1517, 
4, 2, 50, 142, 985, 1517, 
4, 2, 50, 141, 997, 1517, 
4, 2, 50, 142, 974, 1517, 
4, 2, 50, 142, 1046, 1517, 
4, 2, 50, 142, 949, 1517, 
4, 2, 50, 142, 975, 1517, 
4, 2, 50, 142, 1015, 1517, 
4, 2, 50, 142, 994, 1517, 
4, 2, 50, 142, 990, 1517, 
4, 2, 50, 142, 1043, 1517, 
4, 2, 50, 142, 963, 1517, 
4, 2, 50, 142, 980, 1517, 
4, 2, 50, 142, 1048, 1517, 
4, 2, 50, 142, 973, 1517, 
4, 2, 50, 142, 1015, 1517, 
4, 2, 50, 142, 1032, 1517, 
4, 2, 50, 142, 1103, 1517, 
4, 2, 50, 142, 1020, 1517, 
4, 2, 50, 142, 982, 1517, 
4, 2, 50, 142, 968, 1517, 
4, 2, 50, 142, 1016, 1517, 
4, 2, 50, 142, 1000, 1517, 
4, 2, 50, 142, 1013, 1517, 
4, 2, 50, 142, 974, 1517, 
4, 2, 50, 142, 996, 1517, 
4, 2, 50, 142, 996, 1517, 
4, 2, 50, 142, 1028, 1517, 
4, 2, 50, 142, 990, 1517, 
4, 2, 50, 142, 1036, 1517, 
4, 2, 50, 142, 998, 1517, 
4, 2, 50, 142, 991, 1517, 
4, 2, 50, 142, 1044, 1517, 
4, 2, 50, 142, 1003, 1517, 
4, 2, 50, 142, 981, 1517, 
4, 2, 50, 142, 1005, 1517, 
4, 2, 50, 142, 1039, 1517, 
4, 2, 50, 142, 994, 1517, 
4, 2, 50, 142, 978, 1517, 
4, 2, 50, 142, 1016, 1517, 
4, 2, 50, 142, 989, 1517, 
4, 2, 50, 142, 974, 1517, 
4, 2, 50, 142, 1014, 1517, 
4, 2, 50, 142, 995, 1517, 
4, 2, 50, 142, 1027, 1517, 
4, 2, 50, 142, 1021, 1517, 
4, 2, 50, 142, 1033, 1517, 
4, 2, 50, 142, 985, 1517, 
4, 2, 50, 142, 1011, 1517, 
4, 2, 50, 142, 1039, 1517, 
4, 2, 50, 142, 1020, 1517, 
4, 2, 50, 142, 1022, 1517, 
4, 2, 50, 142, 974, 1517, 
4, 2, 50, 142, 987, 1517, 
4, 2, 50, 142, 992, 1517, 
4, 2, 50, 142, 1016, 1517, 
4, 2, 50, 142, 990, 1517, 
4, 2, 50, 142, 985, 1517, 
4, 2, 50, 142, 1015, 1517, 
4, 2, 50, 142, 1035, 1517, 
4, 2, 50, 142, 1029, 1517, 
4, 2, 50, 143, 953, 1517, 
4, 2, 50, 143, 977, 1517, 
4, 2, 50, 142, 986, 1517, 
4, 2, 50, 142, 971, 1517, 
4, 2, 50, 142, 978, 1517, 
4, 2, 50, 142, 995, 1517, 
4, 2, 50, 142, 995, 1517, 
4, 2, 50, 143, 998, 1517, 
4, 2, 50, 143, 990, 1517, 
4, 2, 50, 143, 1009, 1517, 
4, 2, 50, 143, 1060, 1517, 
4, 2, 50, 142, 1013, 1517, 
4, 2, 50, 143, 1003, 1517, 
4, 2, 50, 142, 986, 1517, 
4, 2, 50, 143, 981, 1517, 
4, 2, 50, 142, 1003, 1517, 
4, 2, 50, 142, 1026, 1517, 
4, 2, 50, 142, 986, 1517, 
4, 2, 50, 142, 994, 1517, 
4, 2, 50, 142, 989, 1517, 
4, 2, 50, 142, 988, 1517, 
4, 2, 50, 142, 991, 1517, 
4, 2, 50, 142, 1039, 1517, 
4, 2, 50, 143, 989, 1517, 
4, 2, 50, 142, 985, 1517, 
4, 2, 50, 143, 978, 1517, 
4, 2, 50, 143, 989, 1517, 
4, 2, 50, 143, 965, 1517, 
4, 2, 50, 142, 992, 1517, 
4, 2, 50, 143, 979, 1517, 
4, 2, 50, 143, 1046, 1517, 
4, 2, 50, 143, 1012, 1517, 
4, 2, 50, 143, 973, 1517, 
4, 2, 50, 143, 1007, 1517, 
4, 2, 50, 143, 1047, 1517, 
4, 2, 50, 143, 1005, 1517, 
4, 2, 50, 142, 990, 1517, 
4, 2, 50, 143, 980, 1517, 
4, 2, 50, 143, 1000, 1517, 
4, 2, 50, 143, 1017, 1517, 
4, 2, 50, 143, 978, 1517, 
4, 2, 50, 143, 1014, 1517, 
4, 2, 50, 143, 990, 1517, 
4, 2, 50, 143, 985, 1517, 
4, 2, 50, 143, 978, 1517, 
4, 2, 50, 143, 980, 1517, 
4, 2, 50, 143, 975, 1517, 
4, 2, 50, 143, 980, 1517, 
4, 2, 50, 143, 1034, 1517, 
4, 2, 50, 143, 1013, 1517, 
4, 2, 50, 143, 1001, 1517, 
4, 2, 50, 143, 989, 1517, 
4, 2, 50, 143, 991, 1517, 
4, 2, 50, 143, 1004, 1517, 
4, 2, 50, 143, 1023, 1517, 
4, 2, 50, 143, 1040, 1517, 
4, 2, 50, 143, 973, 1517, 
4, 2, 50, 143, 979, 1517, 
4, 2, 50, 143, 1015, 1517, 
4, 2, 50, 143, 987, 1517, 
4, 2, 50, 143, 1027, 1517, 
4, 2, 50, 143, 993, 1517, 
4, 2, 50, 143, 994, 1517, 
4, 2, 50, 143, 1054, 1517, 
4, 2, 50, 143, 1012, 1517, 
4, 2, 50, 143, 986, 1517, 
4, 2, 50, 143, 1019, 1517, 
4, 2, 50, 143, 1000, 1517, 
4, 2, 50, 143, 1022, 1517, 
4, 2, 50, 143, 1023, 1517, 
4, 2, 50, 143, 1081, 1517, 
4, 2, 50, 143, 986, 1517, 
4, 2, 50, 143, 990, 1517, 
4, 2, 50, 143, 997, 1517, 
4, 2, 50, 143, 1011, 1517, 
4, 2, 50, 143, 1030, 1517, 
4, 2, 50, 143, 1012, 1517, 
4, 2, 50, 143, 1038, 1517, 
4, 2, 50, 143, 1011, 1517, 
4, 2, 50, 143, 989, 1517, 
4, 2, 50, 143, 965, 1517, 
4, 2, 50, 143, 986, 1517, 
4, 2, 50, 143, 984, 1517, 
4, 2, 50, 143, 1047, 1517, 
4, 2, 50, 143, 979, 1517, 
4, 2, 50, 143, 990, 1517, 
4, 2, 50, 143, 1015, 1517, 
4, 2, 50, 143, 982, 1517, 
4, 2, 50, 143, 993, 1517, 
4, 2, 50, 143, 1005, 1517, 
4, 2, 50, 143, 989, 1517, 
4, 2, 50, 143, 957, 1517, 
4, 2, 50, 143, 1032, 1517, 
4, 2, 50, 143, 1004, 1517, 
4, 2, 50, 143, 1001, 1517, 
4, 2, 50, 143, 1029, 1517, 
4, 2, 50, 143, 1004, 1517, 
4, 2, 50, 143, 997, 1517, 
4, 2, 50, 143, 988, 1517, 
4, 2, 50, 143, 973, 1517, 
4, 2, 50, 143, 981, 1517, 
4, 2, 50, 143, 1015, 1517, 
4, 2, 50, 143, 996, 1517, 
4, 2, 50, 143, 1018, 1517, 
4, 2, 50, 143, 993, 1517, 
4, 2, 50, 144, 1034, 1517, 
4, 2, 50, 143, 987, 1517, 
4, 2, 50, 143, 964, 1517, 
4, 2, 50, 143, 977, 1517, 
4, 2, 50, 143, 983, 1517, 
4, 2, 50, 143, 962, 1517, 
4, 2, 50, 143, 1066, 1517, 
4, 2, 50, 144, 987, 1517, 
4, 2, 50, 144, 970, 1517, 
