depth, elements, relations, ram, duration, elements;
2, 2, 50, 86, 432, 669, 
2, 2, 50, 86, 521, 669, 
2, 2, 50, 86, 502, 669, 
2, 2, 50, 86, 477, 669, 
2, 2, 50, 86, 486, 669, 
2, 2, 50, 86, 512, 669, 
2, 2, 50, 86, 548, 669, 
2, 2, 50, 86, 495, 669, 
2, 2, 50, 86, 483, 669, 
2, 2, 50, 86, 505, 669, 
2, 2, 50, 86, 455, 669, 
2, 2, 50, 86, 514, 669, 
2, 2, 50, 86, 547, 669, 
2, 2, 50, 86, 484, 669, 
2, 2, 50, 86, 472, 669, 
2, 2, 50, 86, 499, 669, 
2, 2, 50, 86, 446, 669, 
2, 2, 50, 86, 543, 669, 
2, 2, 50, 86, 477, 669, 
2, 2, 50, 86, 494, 669, 
2, 2, 50, 86, 548, 669, 
2, 2, 50, 86, 528, 669, 
2, 2, 50, 86, 491, 669, 
2, 2, 50, 86, 493, 669, 
2, 2, 50, 86, 523, 669, 
2, 2, 50, 86, 533, 669, 
2, 2, 50, 86, 472, 669, 
2, 2, 50, 86, 482, 669, 
2, 2, 50, 86, 477, 669, 
2, 2, 50, 86, 492, 669, 
2, 2, 50, 86, 511, 669, 
2, 2, 50, 86, 495, 669, 
2, 2, 50, 86, 524, 669, 
2, 2, 50, 86, 524, 669, 
2, 2, 50, 86, 472, 669, 
2, 2, 50, 86, 502, 669, 
2, 2, 50, 86, 536, 669, 
2, 2, 50, 86, 520, 669, 
2, 2, 50, 86, 513, 669, 
2, 2, 50, 86, 479, 669, 
2, 2, 50, 86, 467, 669, 
2, 2, 50, 86, 515, 669, 
2, 2, 50, 86, 513, 669, 
2, 2, 50, 86, 510, 669, 
2, 2, 50, 86, 513, 669, 
2, 2, 50, 86, 512, 669, 
2, 2, 50, 86, 480, 669, 
2, 2, 50, 86, 564, 669, 
2, 2, 50, 86, 502, 669, 
2, 2, 50, 86, 491, 669, 
2, 2, 50, 86, 482, 669, 
2, 2, 50, 86, 493, 669, 
2, 2, 50, 86, 501, 669, 
2, 2, 50, 86, 527, 669, 
2, 2, 50, 86, 470, 669, 
2, 2, 50, 86, 489, 669, 
2, 2, 50, 86, 510, 669, 
2, 2, 50, 86, 469, 669, 
2, 2, 50, 86, 485, 669, 
2, 2, 50, 86, 523, 669, 
2, 2, 50, 86, 517, 669, 
2, 2, 50, 86, 469, 669, 
2, 2, 50, 86, 486, 669, 
2, 2, 50, 86, 453, 669, 
2, 2, 50, 86, 466, 669, 
2, 2, 50, 86, 518, 669, 
2, 2, 50, 86, 529, 669, 
2, 2, 50, 86, 484, 669, 
2, 2, 50, 86, 490, 669, 
2, 2, 50, 86, 503, 669, 
2, 2, 50, 86, 490, 669, 
2, 2, 50, 86, 560, 669, 
2, 2, 50, 86, 495, 669, 
2, 2, 50, 86, 482, 669, 
2, 2, 50, 86, 521, 669, 
2, 2, 50, 86, 481, 669, 
2, 2, 50, 86, 459, 669, 
2, 2, 50, 86, 513, 669, 
2, 2, 50, 86, 473, 669, 
2, 2, 50, 86, 530, 669, 
2, 2, 50, 86, 496, 669, 
2, 2, 50, 87, 523, 669, 
2, 2, 50, 86, 508, 669, 
2, 2, 50, 87, 467, 669, 
2, 2, 50, 86, 521, 669, 
2, 2, 50, 86, 558, 669, 
2, 2, 50, 86, 475, 669, 
2, 2, 50, 86, 523, 669, 
2, 2, 50, 86, 483, 669, 
2, 2, 50, 86, 522, 669, 
2, 2, 50, 86, 473, 669, 
2, 2, 50, 86, 502, 669, 
2, 2, 50, 86, 492, 669, 
2, 2, 50, 86, 491, 669, 
2, 2, 50, 87, 510, 669, 
2, 2, 50, 87, 506, 669, 
2, 2, 50, 86, 487, 669, 
2, 2, 50, 86, 462, 669, 
2, 2, 50, 86, 483, 669, 
2, 2, 50, 86, 515, 669, 
2, 2, 50, 87, 494, 669, 
2, 2, 50, 86, 509, 669, 
2, 2, 50, 87, 490, 669, 
2, 2, 50, 87, 545, 669, 
2, 2, 50, 87, 476, 669, 
2, 2, 50, 86, 528, 669, 
2, 2, 50, 87, 458, 669, 
2, 2, 50, 87, 489, 669, 
2, 2, 50, 87, 473, 669, 
2, 2, 50, 86, 493, 669, 
2, 2, 50, 87, 525, 669, 
2, 2, 50, 87, 506, 669, 
2, 2, 50, 87, 487, 669, 
2, 2, 50, 87, 445, 669, 
2, 2, 50, 86, 450, 669, 
2, 2, 50, 87, 517, 669, 
2, 2, 50, 87, 505, 669, 
2, 2, 50, 87, 506, 669, 
2, 2, 50, 87, 504, 669, 
2, 2, 50, 87, 488, 669, 
2, 2, 50, 87, 476, 669, 
2, 2, 50, 87, 502, 669, 
2, 2, 50, 87, 521, 669, 
2, 2, 50, 87, 431, 669, 
2, 2, 50, 87, 559, 669, 
2, 2, 50, 87, 497, 669, 
2, 2, 50, 87, 479, 669, 
2, 2, 50, 87, 471, 669, 
2, 2, 50, 87, 516, 669, 
2, 2, 50, 87, 497, 669, 
2, 2, 50, 87, 472, 669, 
2, 2, 50, 87, 507, 669, 
2, 2, 50, 87, 491, 669, 
2, 2, 50, 87, 485, 669, 
2, 2, 50, 87, 495, 669, 
2, 2, 50, 87, 483, 669, 
2, 2, 50, 87, 475, 669, 
2, 2, 50, 87, 484, 669, 
2, 2, 50, 87, 483, 669, 
2, 2, 50, 87, 516, 669, 
2, 2, 50, 87, 504, 669, 
2, 2, 50, 87, 515, 669, 
2, 2, 50, 87, 512, 669, 
2, 2, 50, 87, 538, 669, 
2, 2, 50, 87, 502, 669, 
2, 2, 50, 87, 494, 669, 
2, 2, 50, 87, 474, 669, 
2, 2, 50, 87, 518, 669, 
2, 2, 50, 87, 487, 669, 
2, 2, 50, 87, 513, 669, 
2, 2, 50, 87, 536, 669, 
2, 2, 50, 87, 535, 669, 
2, 2, 50, 87, 489, 669, 
2, 2, 50, 87, 517, 669, 
2, 2, 50, 87, 510, 669, 
2, 2, 50, 87, 516, 669, 
2, 2, 50, 87, 481, 669, 
2, 2, 50, 87, 514, 669, 
2, 2, 50, 87, 536, 669, 
2, 2, 50, 87, 499, 669, 
2, 2, 50, 87, 512, 669, 
2, 2, 50, 87, 447, 669, 
2, 2, 50, 87, 463, 669, 
2, 2, 50, 87, 495, 669, 
2, 2, 50, 87, 501, 669, 
2, 2, 50, 87, 423, 669, 
2, 2, 50, 87, 505, 669, 
2, 2, 50, 87, 550, 669, 
2, 2, 50, 87, 527, 669, 
2, 2, 50, 87, 471, 669, 
2, 2, 50, 87, 479, 669, 
2, 2, 50, 87, 463, 669, 
2, 2, 50, 87, 503, 669, 
2, 2, 50, 87, 561, 669, 
2, 2, 50, 87, 518, 669, 
2, 2, 50, 87, 502, 669, 
2, 2, 50, 87, 484, 669, 
2, 2, 50, 87, 474, 669, 
2, 2, 50, 87, 460, 669, 
2, 2, 50, 87, 504, 669, 
2, 2, 50, 87, 485, 669, 
2, 2, 50, 87, 474, 669, 
2, 2, 50, 87, 473, 669, 
2, 2, 50, 87, 493, 669, 
2, 2, 50, 87, 494, 669, 
2, 2, 50, 87, 485, 669, 
2, 2, 50, 87, 514, 669, 
2, 2, 50, 88, 479, 669, 
2, 2, 50, 87, 511, 669, 
2, 2, 50, 87, 471, 669, 
2, 2, 50, 87, 522, 669, 
2, 2, 50, 87, 488, 669, 
2, 2, 50, 87, 494, 669, 
2, 2, 50, 87, 525, 669, 
2, 2, 50, 87, 490, 669, 
2, 2, 50, 87, 506, 669, 
2, 2, 50, 87, 484, 669, 
2, 2, 50, 87, 549, 669, 
2, 2, 50, 87, 497, 669, 
2, 2, 50, 87, 518, 669, 
