depth, elements, relations, ram, duration, elements;
2, 4, 50, 96, 645, 827, 
2, 4, 50, 96, 558, 827, 
2, 4, 50, 96, 563, 827, 
2, 4, 50, 96, 571, 827, 
2, 4, 50, 96, 558, 827, 
2, 4, 50, 96, 559, 827, 
2, 4, 50, 96, 545, 827, 
2, 4, 50, 96, 541, 827, 
2, 4, 50, 96, 566, 827, 
2, 4, 50, 96, 553, 827, 
2, 4, 50, 96, 548, 827, 
2, 4, 50, 96, 550, 827, 
2, 4, 50, 96, 551, 827, 
2, 4, 50, 96, 595, 827, 
2, 4, 50, 96, 556, 827, 
2, 4, 50, 96, 549, 827, 
2, 4, 50, 96, 560, 827, 
2, 4, 50, 96, 575, 827, 
2, 4, 50, 96, 549, 827, 
2, 4, 50, 96, 549, 827, 
2, 4, 50, 96, 561, 827, 
2, 4, 50, 96, 578, 827, 
2, 4, 50, 96, 556, 827, 
2, 4, 50, 96, 554, 827, 
2, 4, 50, 96, 535, 827, 
2, 4, 50, 96, 569, 827, 
2, 4, 50, 96, 550, 827, 
2, 4, 50, 96, 573, 827, 
2, 4, 50, 96, 556, 827, 
2, 4, 50, 96, 548, 827, 
2, 4, 50, 96, 555, 827, 
2, 4, 50, 96, 561, 827, 
2, 4, 50, 96, 543, 827, 
2, 4, 50, 96, 559, 827, 
2, 4, 50, 96, 546, 827, 
2, 4, 50, 96, 566, 827, 
2, 4, 50, 96, 573, 827, 
2, 4, 50, 97, 546, 827, 
2, 4, 50, 96, 563, 827, 
2, 4, 50, 96, 554, 827, 
2, 4, 50, 96, 548, 827, 
2, 4, 50, 96, 547, 827, 
2, 4, 50, 96, 544, 827, 
2, 4, 50, 96, 570, 827, 
2, 4, 50, 96, 561, 827, 
2, 4, 50, 97, 592, 827, 
2, 4, 50, 97, 574, 827, 
2, 4, 50, 97, 560, 827, 
2, 4, 50, 97, 575, 827, 
2, 4, 50, 97, 558, 827, 
2, 4, 50, 97, 540, 827, 
2, 4, 50, 97, 569, 827, 
2, 4, 50, 97, 552, 827, 
2, 4, 50, 96, 547, 827, 
2, 4, 50, 97, 563, 827, 
2, 4, 50, 97, 582, 827, 
2, 4, 50, 97, 537, 827, 
2, 4, 50, 97, 543, 827, 
2, 4, 50, 97, 545, 827, 
2, 4, 50, 97, 578, 827, 
2, 4, 50, 97, 553, 827, 
2, 4, 50, 97, 530, 827, 
2, 4, 50, 97, 551, 827, 
2, 4, 50, 97, 539, 827, 
2, 4, 50, 96, 551, 827, 
2, 4, 50, 97, 545, 827, 
2, 4, 50, 97, 546, 827, 
2, 4, 50, 97, 560, 827, 
2, 4, 50, 97, 573, 827, 
2, 4, 50, 97, 560, 827, 
2, 4, 50, 97, 552, 827, 
2, 4, 50, 97, 538, 827, 
2, 4, 50, 97, 551, 827, 
2, 4, 50, 97, 557, 827, 
2, 4, 50, 97, 547, 827, 
2, 4, 50, 97, 540, 827, 
2, 4, 50, 97, 536, 827, 
2, 4, 50, 97, 655, 827, 
2, 4, 50, 97, 586, 827, 
2, 4, 50, 97, 546, 827, 
2, 4, 50, 97, 560, 827, 
2, 4, 50, 97, 544, 827, 
2, 4, 50, 97, 548, 827, 
2, 4, 50, 97, 566, 827, 
2, 4, 50, 97, 553, 827, 
2, 4, 50, 97, 571, 827, 
2, 4, 50, 97, 568, 827, 
2, 4, 50, 97, 595, 827, 
2, 4, 50, 97, 550, 827, 
2, 4, 50, 97, 554, 827, 
2, 4, 50, 97, 558, 827, 
2, 4, 50, 97, 541, 827, 
2, 4, 50, 97, 582, 827, 
2, 4, 50, 97, 567, 827, 
2, 4, 50, 97, 564, 827, 
2, 4, 50, 97, 589, 827, 
2, 4, 50, 97, 553, 827, 
2, 4, 50, 97, 557, 827, 
2, 4, 50, 97, 557, 827, 
2, 4, 50, 97, 549, 827, 
2, 4, 50, 97, 576, 827, 
2, 4, 50, 97, 563, 827, 
2, 4, 50, 97, 547, 827, 
2, 4, 50, 97, 549, 827, 
2, 4, 50, 97, 559, 827, 
2, 4, 50, 97, 573, 827, 
2, 4, 50, 97, 556, 827, 
2, 4, 50, 97, 552, 827, 
2, 4, 50, 97, 560, 827, 
2, 4, 50, 97, 539, 827, 
2, 4, 50, 97, 553, 827, 
2, 4, 50, 97, 548, 827, 
2, 4, 50, 97, 563, 827, 
2, 4, 50, 97, 574, 827, 
2, 4, 50, 97, 547, 827, 
2, 4, 50, 97, 553, 827, 
2, 4, 50, 97, 561, 827, 
2, 4, 50, 97, 587, 827, 
2, 4, 50, 97, 558, 827, 
2, 4, 50, 97, 544, 827, 
2, 4, 50, 97, 553, 827, 
2, 4, 50, 97, 587, 827, 
2, 4, 50, 97, 544, 827, 
2, 4, 50, 97, 542, 827, 
2, 4, 50, 97, 563, 827, 
2, 4, 50, 97, 551, 827, 
2, 4, 50, 97, 531, 827, 
2, 4, 50, 97, 542, 827, 
2, 4, 50, 97, 559, 827, 
2, 4, 50, 97, 549, 827, 
2, 4, 50, 97, 559, 827, 
2, 4, 50, 97, 538, 827, 
2, 4, 50, 97, 544, 827, 
2, 4, 50, 97, 551, 827, 
2, 4, 50, 97, 556, 827, 
2, 4, 50, 97, 541, 827, 
2, 4, 50, 97, 541, 827, 
2, 4, 50, 97, 553, 827, 
2, 4, 50, 98, 554, 827, 
2, 4, 50, 97, 557, 827, 
2, 4, 50, 97, 531, 827, 
2, 4, 50, 97, 543, 827, 
2, 4, 50, 97, 561, 827, 
2, 4, 50, 97, 557, 827, 
2, 4, 50, 97, 593, 827, 
2, 4, 50, 97, 545, 827, 
2, 4, 50, 97, 581, 827, 
2, 4, 50, 97, 535, 827, 
2, 4, 50, 97, 553, 827, 
2, 4, 50, 97, 546, 827, 
2, 4, 50, 97, 559, 827, 
2, 4, 50, 97, 538, 827, 
2, 4, 50, 98, 566, 827, 
2, 4, 50, 97, 551, 827, 
2, 4, 50, 98, 551, 827, 
2, 4, 50, 97, 551, 827, 
2, 4, 50, 97, 565, 827, 
2, 4, 50, 98, 544, 827, 
2, 4, 50, 98, 548, 827, 
2, 4, 50, 97, 556, 827, 
2, 4, 50, 98, 563, 827, 
2, 4, 50, 98, 574, 827, 
2, 4, 50, 98, 545, 827, 
2, 4, 50, 98, 563, 827, 
2, 4, 50, 98, 569, 827, 
2, 4, 50, 98, 564, 827, 
2, 4, 50, 98, 557, 827, 
2, 4, 50, 98, 549, 827, 
2, 4, 50, 98, 582, 827, 
2, 4, 50, 98, 560, 827, 
2, 4, 50, 98, 541, 827, 
2, 4, 50, 98, 552, 827, 
2, 4, 50, 98, 527, 827, 
2, 4, 50, 98, 557, 827, 
2, 4, 50, 98, 599, 827, 
2, 4, 50, 98, 548, 827, 
2, 4, 50, 98, 575, 827, 
2, 4, 50, 98, 553, 827, 
2, 4, 50, 98, 555, 827, 
2, 4, 50, 98, 590, 827, 
2, 4, 50, 98, 566, 827, 
2, 4, 50, 98, 555, 827, 
2, 4, 50, 98, 589, 827, 
2, 4, 50, 98, 535, 827, 
2, 4, 50, 98, 564, 827, 
2, 4, 50, 98, 533, 827, 
2, 4, 50, 98, 552, 827, 
2, 4, 50, 98, 591, 827, 
2, 4, 50, 98, 532, 827, 
2, 4, 50, 98, 538, 827, 
2, 4, 50, 98, 561, 827, 
2, 4, 50, 98, 592, 827, 
2, 4, 50, 98, 574, 827, 
2, 4, 50, 98, 546, 827, 
2, 4, 50, 98, 571, 827, 
2, 4, 50, 98, 537, 827, 
2, 4, 50, 98, 553, 827, 
2, 4, 50, 98, 530, 827, 
2, 4, 50, 98, 583, 827, 
2, 4, 50, 98, 559, 827, 
