depth, elements, relations, ram, duration, elements;
1, 5, 50, 77, 404, 642, 
1, 5, 50, 77, 434, 642, 
1, 5, 50, 77, 449, 642, 
1, 5, 50, 77, 379, 642, 
1, 5, 50, 77, 377, 642, 
1, 5, 50, 77, 382, 642, 
1, 5, 50, 77, 383, 642, 
1, 5, 50, 77, 336, 642, 
1, 5, 50, 77, 385, 642, 
1, 5, 50, 77, 347, 642, 
1, 5, 50, 77, 509, 642, 
1, 5, 50, 77, 371, 642, 
1, 5, 50, 77, 464, 642, 
1, 5, 50, 77, 363, 642, 
1, 5, 50, 77, 518, 642, 
1, 5, 50, 77, 371, 642, 
1, 5, 50, 77, 423, 642, 
1, 5, 50, 77, 411, 642, 
1, 5, 50, 77, 344, 642, 
1, 5, 50, 77, 377, 642, 
1, 5, 50, 77, 386, 642, 
1, 5, 50, 77, 365, 642, 
1, 5, 50, 77, 435, 642, 
1, 5, 50, 77, 434, 642, 
1, 5, 50, 77, 363, 642, 
1, 5, 50, 77, 413, 642, 
1, 5, 50, 77, 393, 642, 
1, 5, 50, 77, 392, 642, 
1, 5, 50, 77, 340, 642, 
1, 5, 50, 78, 391, 642, 
1, 5, 50, 77, 397, 642, 
1, 5, 50, 77, 366, 642, 
1, 5, 50, 77, 414, 642, 
1, 5, 50, 77, 382, 642, 
1, 5, 50, 77, 406, 642, 
1, 5, 50, 77, 461, 642, 
1, 5, 50, 77, 397, 642, 
1, 5, 50, 77, 434, 642, 
1, 5, 50, 78, 390, 642, 
1, 5, 50, 77, 389, 642, 
1, 5, 50, 78, 408, 642, 
1, 5, 50, 77, 367, 642, 
1, 5, 50, 78, 394, 642, 
1, 5, 50, 77, 384, 642, 
1, 5, 50, 78, 360, 642, 
1, 5, 50, 77, 394, 642, 
1, 5, 50, 78, 390, 642, 
1, 5, 50, 77, 351, 642, 
1, 5, 50, 78, 397, 642, 
1, 5, 50, 77, 354, 642, 
1, 5, 50, 78, 370, 642, 
1, 5, 50, 77, 355, 642, 
1, 5, 50, 78, 393, 642, 
1, 5, 50, 77, 338, 642, 
1, 5, 50, 77, 364, 642, 
1, 5, 50, 77, 353, 642, 
1, 5, 50, 78, 355, 642, 
1, 5, 50, 77, 359, 642, 
1, 5, 50, 78, 384, 642, 
1, 5, 50, 77, 354, 642, 
1, 5, 50, 78, 362, 642, 
1, 5, 50, 77, 390, 642, 
1, 5, 50, 78, 390, 642, 
1, 5, 50, 77, 369, 642, 
1, 5, 50, 78, 395, 642, 
1, 5, 50, 77, 425, 642, 
1, 5, 50, 78, 394, 642, 
1, 5, 50, 78, 446, 642, 
1, 5, 50, 78, 388, 642, 
1, 5, 50, 77, 369, 642, 
1, 5, 50, 78, 385, 642, 
1, 5, 50, 78, 350, 642, 
1, 5, 50, 78, 356, 642, 
1, 5, 50, 78, 369, 642, 
1, 5, 50, 78, 372, 642, 
1, 5, 50, 78, 378, 642, 
1, 5, 50, 78, 368, 642, 
1, 5, 50, 77, 414, 642, 
1, 5, 50, 78, 373, 642, 
1, 5, 50, 78, 371, 642, 
1, 5, 50, 78, 387, 642, 
1, 5, 50, 78, 374, 642, 
1, 5, 50, 78, 393, 642, 
1, 5, 50, 78, 365, 642, 
1, 5, 50, 78, 370, 642, 
1, 5, 50, 78, 374, 642, 
1, 5, 50, 78, 369, 642, 
1, 5, 50, 78, 380, 642, 
1, 5, 50, 78, 398, 642, 
1, 5, 50, 78, 360, 642, 
1, 5, 50, 78, 377, 642, 
1, 5, 50, 78, 377, 642, 
1, 5, 50, 78, 365, 642, 
1, 5, 50, 78, 341, 642, 
1, 5, 50, 78, 382, 642, 
1, 5, 50, 78, 375, 642, 
1, 5, 50, 78, 354, 642, 
1, 5, 50, 78, 367, 642, 
1, 5, 50, 78, 390, 642, 
1, 5, 50, 78, 356, 642, 
1, 5, 50, 78, 388, 642, 
1, 5, 50, 78, 394, 642, 
1, 5, 50, 78, 362, 642, 
1, 5, 50, 78, 412, 642, 
1, 5, 50, 78, 346, 642, 
1, 5, 50, 78, 376, 642, 
1, 5, 50, 78, 349, 642, 
1, 5, 50, 78, 375, 642, 
1, 5, 50, 78, 350, 642, 
1, 5, 50, 78, 369, 642, 
1, 5, 50, 78, 355, 642, 
1, 5, 50, 78, 404, 642, 
1, 5, 50, 78, 350, 642, 
1, 5, 50, 78, 391, 642, 
1, 5, 50, 78, 372, 642, 
1, 5, 50, 78, 377, 642, 
1, 5, 50, 78, 369, 642, 
1, 5, 50, 78, 399, 642, 
1, 5, 50, 78, 347, 642, 
1, 5, 50, 78, 396, 642, 
1, 5, 50, 78, 345, 642, 
1, 5, 50, 78, 375, 642, 
1, 5, 50, 78, 364, 642, 
1, 5, 50, 78, 412, 642, 
1, 5, 50, 78, 433, 642, 
1, 5, 50, 78, 383, 642, 
1, 5, 50, 78, 377, 642, 
1, 5, 50, 78, 382, 642, 
1, 5, 50, 78, 385, 642, 
1, 5, 50, 78, 421, 642, 
1, 5, 50, 78, 377, 642, 
1, 5, 50, 78, 384, 642, 
1, 5, 50, 78, 369, 642, 
1, 5, 50, 78, 367, 642, 
1, 5, 50, 78, 347, 642, 
1, 5, 50, 78, 349, 642, 
1, 5, 50, 78, 392, 642, 
1, 5, 50, 78, 365, 642, 
1, 5, 50, 78, 362, 642, 
1, 5, 50, 78, 380, 642, 
1, 5, 50, 78, 371, 642, 
1, 5, 50, 78, 370, 642, 
1, 5, 50, 79, 361, 642, 
1, 5, 50, 78, 370, 642, 
1, 5, 50, 79, 370, 642, 
1, 5, 50, 78, 324, 642, 
1, 5, 50, 79, 390, 642, 
1, 5, 50, 78, 343, 642, 
1, 5, 50, 79, 376, 642, 
1, 5, 50, 78, 358, 642, 
1, 5, 50, 79, 358, 642, 
1, 5, 50, 78, 363, 642, 
1, 5, 50, 79, 418, 642, 
1, 5, 50, 78, 372, 642, 
1, 5, 50, 79, 367, 642, 
