depth, elements, relations, ram, duration, elements;
4, 3, 50, 268, 3379, 4732, 
4, 3, 50, 268, 3469, 4732, 
4, 3, 50, 268, 3461, 4732, 
4, 3, 50, 269, 3442, 4732, 
4, 3, 50, 268, 3412, 4732, 
4, 3, 50, 268, 3533, 4732, 
4, 3, 50, 269, 3421, 4732, 
4, 3, 50, 269, 3523, 4732, 
4, 3, 50, 268, 3470, 4732, 
4, 3, 50, 269, 3413, 4732, 
4, 3, 50, 269, 3420, 4732, 
4, 3, 50, 268, 3466, 4732, 
4, 3, 50, 268, 3380, 4732, 
4, 3, 50, 268, 3472, 4732, 
4, 3, 50, 268, 3494, 4732, 
4, 3, 50, 269, 3475, 4732, 
4, 3, 50, 269, 3493, 4732, 
4, 3, 50, 269, 3385, 4732, 
4, 3, 50, 269, 3449, 4732, 
4, 3, 50, 269, 3474, 4732, 
4, 3, 50, 269, 3522, 4732, 
4, 3, 50, 268, 3461, 4732, 
4, 3, 50, 268, 3475, 4732, 
4, 3, 50, 269, 3499, 4732, 
4, 3, 50, 268, 3415, 4732, 
4, 3, 50, 269, 3435, 4732, 
4, 3, 50, 269, 3365, 4732, 
4, 3, 50, 269, 3499, 4732, 
4, 3, 50, 269, 3421, 4732, 
4, 3, 50, 269, 3390, 4732, 
4, 3, 50, 269, 3352, 4732, 
4, 3, 50, 269, 3412, 4732, 
4, 3, 50, 269, 3391, 4732, 
4, 3, 50, 268, 3390, 4732, 
4, 3, 50, 269, 3500, 4732, 
4, 3, 50, 269, 3364, 4732, 
4, 3, 50, 269, 3460, 4732, 
4, 3, 50, 269, 3497, 4732, 
4, 3, 50, 269, 3458, 4732, 
4, 3, 50, 269, 3600, 4732, 
4, 3, 50, 269, 3442, 4732, 
4, 3, 50, 269, 3454, 4732, 
4, 3, 50, 269, 3470, 4732, 
4, 3, 50, 269, 3418, 4732, 
4, 3, 50, 269, 3496, 4732, 
4, 3, 50, 269, 3441, 4732, 
4, 3, 50, 269, 3436, 4732, 
4, 3, 50, 269, 3398, 4732, 
4, 3, 50, 269, 3411, 4732, 
4, 3, 50, 268, 3420, 4732, 
4, 3, 50, 269, 3582, 4732, 
4, 3, 50, 269, 3590, 4732, 
4, 3, 50, 269, 3444, 4732, 
