depth, elements, relations, ram, duration, elements;
1, 3, 50, 72, 371, 628, 
1, 3, 50, 73, 383, 628, 
1, 3, 50, 72, 349, 628, 
1, 3, 50, 73, 377, 628, 
1, 3, 50, 72, 449, 628, 
1, 3, 50, 73, 416, 628, 
1, 3, 50, 73, 425, 628, 
1, 3, 50, 73, 446, 628, 
1, 3, 50, 73, 425, 628, 
1, 3, 50, 73, 455, 628, 
1, 3, 50, 72, 390, 628, 
1, 3, 50, 73, 409, 628, 
1, 3, 50, 72, 358, 628, 
1, 3, 50, 73, 421, 628, 
1, 3, 50, 72, 369, 628, 
1, 3, 50, 73, 397, 628, 
1, 3, 50, 73, 376, 628, 
1, 3, 50, 73, 359, 628, 
1, 3, 50, 73, 385, 628, 
1, 3, 50, 73, 416, 628, 
1, 3, 50, 72, 426, 628, 
1, 3, 50, 73, 403, 628, 
1, 3, 50, 73, 357, 628, 
1, 3, 50, 73, 392, 628, 
1, 3, 50, 72, 361, 628, 
1, 3, 50, 73, 346, 628, 
1, 3, 50, 73, 458, 628, 
1, 3, 50, 73, 473, 628, 
1, 3, 50, 72, 390, 628, 
1, 3, 50, 73, 414, 628, 
1, 3, 50, 73, 401, 628, 
1, 3, 50, 73, 354, 628, 
1, 3, 50, 73, 359, 628, 
1, 3, 50, 73, 403, 628, 
1, 3, 50, 73, 365, 628, 
1, 3, 50, 73, 364, 628, 
1, 3, 50, 73, 387, 628, 
1, 3, 50, 73, 421, 628, 
1, 3, 50, 73, 409, 628, 
1, 3, 50, 73, 413, 628, 
1, 3, 50, 73, 423, 628, 
1, 3, 50, 73, 421, 628, 
1, 3, 50, 73, 364, 628, 
1, 3, 50, 73, 384, 628, 
1, 3, 50, 73, 364, 628, 
1, 3, 50, 73, 367, 628, 
1, 3, 50, 73, 372, 628, 
1, 3, 50, 73, 424, 628, 
1, 3, 50, 73, 363, 628, 
1, 3, 50, 73, 401, 628, 
1, 3, 50, 73, 413, 628, 
1, 3, 50, 73, 392, 628, 
1, 3, 50, 73, 378, 628, 
1, 3, 50, 73, 419, 628, 
1, 3, 50, 73, 403, 628, 
1, 3, 50, 73, 387, 628, 
1, 3, 50, 73, 407, 628, 
1, 3, 50, 73, 333, 628, 
1, 3, 50, 73, 387, 628, 
1, 3, 50, 73, 394, 628, 
1, 3, 50, 73, 421, 628, 
1, 3, 50, 73, 400, 628, 
1, 3, 50, 73, 348, 628, 
1, 3, 50, 73, 373, 628, 
1, 3, 50, 73, 369, 628, 
1, 3, 50, 73, 354, 628, 
1, 3, 50, 73, 365, 628, 
1, 3, 50, 73, 355, 628, 
1, 3, 50, 73, 380, 628, 
1, 3, 50, 73, 390, 628, 
1, 3, 50, 73, 397, 628, 
1, 3, 50, 73, 395, 628, 
1, 3, 50, 73, 421, 628, 
1, 3, 50, 73, 442, 628, 
1, 3, 50, 73, 364, 628, 
1, 3, 50, 73, 393, 628, 
1, 3, 50, 73, 336, 628, 
1, 3, 50, 73, 348, 628, 
1, 3, 50, 73, 397, 628, 
1, 3, 50, 73, 350, 628, 
1, 3, 50, 73, 357, 628, 
1, 3, 50, 73, 429, 628, 
1, 3, 50, 73, 411, 628, 
1, 3, 50, 73, 365, 628, 
1, 3, 50, 73, 465, 628, 
1, 3, 50, 74, 396, 628, 
1, 3, 50, 73, 366, 628, 
1, 3, 50, 73, 472, 628, 
1, 3, 50, 73, 377, 628, 
1, 3, 50, 73, 368, 628, 
1, 3, 50, 73, 413, 628, 
1, 3, 50, 74, 410, 628, 
1, 3, 50, 73, 392, 628, 
1, 3, 50, 74, 438, 628, 
1, 3, 50, 73, 358, 628, 
1, 3, 50, 74, 415, 628, 
1, 3, 50, 73, 357, 628, 
1, 3, 50, 74, 381, 628, 
1, 3, 50, 73, 367, 628, 
1, 3, 50, 74, 346, 628, 
1, 3, 50, 73, 353, 628, 
1, 3, 50, 74, 409, 628, 
1, 3, 50, 73, 365, 628, 
1, 3, 50, 74, 416, 628, 
1, 3, 50, 73, 377, 628, 
1, 3, 50, 74, 437, 628, 
1, 3, 50, 73, 340, 628, 
1, 3, 50, 74, 397, 628, 
1, 3, 50, 73, 379, 628, 
1, 3, 50, 74, 355, 628, 
1, 3, 50, 73, 367, 628, 
1, 3, 50, 73, 342, 628, 
1, 3, 50, 74, 373, 628, 
1, 3, 50, 73, 367, 628, 
1, 3, 50, 74, 366, 628, 
1, 3, 50, 74, 364, 628, 
1, 3, 50, 74, 351, 628, 
1, 3, 50, 74, 405, 628, 
1, 3, 50, 74, 414, 628, 
1, 3, 50, 73, 430, 628, 
1, 3, 50, 73, 384, 628, 
1, 3, 50, 73, 462, 628, 
1, 3, 50, 74, 386, 628, 
1, 3, 50, 74, 514, 628, 
1, 3, 50, 74, 415, 628, 
1, 3, 50, 74, 428, 628, 
1, 3, 50, 74, 395, 628, 
1, 3, 50, 74, 335, 628, 
1, 3, 50, 74, 366, 628, 
1, 3, 50, 74, 341, 628, 
1, 3, 50, 74, 376, 628, 
1, 3, 50, 73, 386, 628, 
1, 3, 50, 74, 376, 628, 
1, 3, 50, 74, 448, 628, 
1, 3, 50, 74, 372, 628, 
1, 3, 50, 73, 372, 628, 
1, 3, 50, 74, 386, 628, 
1, 3, 50, 73, 355, 628, 
1, 3, 50, 74, 357, 628, 
1, 3, 50, 74, 374, 628, 
1, 3, 50, 74, 344, 628, 
1, 3, 50, 74, 396, 628, 
1, 3, 50, 74, 410, 628, 
1, 3, 50, 74, 382, 628, 
1, 3, 50, 74, 374, 628, 
1, 3, 50, 74, 374, 628, 
1, 3, 50, 74, 405, 628, 
1, 3, 50, 74, 366, 628, 
1, 3, 50, 74, 387, 628, 
