depth, elements, relations, ram, duration, elements;
4, 6, 50, 2427, 47135, 60265, 
4, 6, 50, 2422, 46112, 60265, 
4, 6, 50, 2425, 46401, 60265, 
4, 6, 50, 2424, 46314, 60265, 
4, 6, 50, 2425, 46020, 60265, 
4, 6, 50, 2425, 46126, 60265, 
4, 6, 50, 2422, 46331, 60265, 
4, 6, 50, 2425, 46067, 60265, 
4, 6, 50, 2423, 45881, 60265, 
4, 6, 50, 2423, 45912, 60265, 
4, 6, 50, 2424, 46372, 60265, 
4, 6, 50, 2424, 46274, 60265, 
4, 6, 50, 2425, 45993, 60265, 
4, 6, 50, 2425, 46135, 60265, 
4, 6, 50, 2426, 46708, 60265, 
4, 6, 50, 2423, 46533, 60265, 
4, 6, 50, 2425, 46031, 60265, 
4, 6, 50, 2423, 46040, 60265, 
4, 6, 50, 2426, 46458, 60265, 
4, 6, 50, 2424, 45875, 60265, 
4, 6, 50, 2425, 46612, 60265, 
4, 6, 50, 2425, 46802, 60265, 
4, 6, 50, 2423, 46468, 60265, 
4, 6, 50, 2424, 46052, 60265, 
4, 6, 50, 2424, 46602, 60265, 
4, 6, 50, 2425, 45947, 60265, 
4, 6, 50, 2423, 46285, 60265, 
4, 6, 50, 2427, 45985, 60265, 
4, 6, 50, 2424, 46125, 60265, 
4, 6, 50, 2426, 46242, 60265, 
4, 6, 50, 2426, 46293, 60265, 
4, 6, 50, 2424, 46649, 60265, 
4, 6, 50, 2424, 45960, 60265, 
4, 6, 50, 2423, 45948, 60265, 
4, 6, 50, 2424, 46416, 60265, 
4, 6, 50, 2425, 46481, 60265, 
4, 6, 50, 2424, 45994, 60265, 
4, 6, 50, 2423, 46278, 60265, 
4, 6, 50, 2424, 46973, 60265, 
4, 6, 50, 2422, 46239, 60265, 
4, 6, 50, 2424, 46197, 60265, 
4, 6, 50, 2423, 46491, 60265, 
4, 6, 50, 2424, 46765, 60265, 
4, 6, 50, 2423, 45894, 60265, 
4, 6, 50, 2423, 45964, 60265, 
4, 6, 50, 2425, 46323, 60265, 
4, 6, 50, 2422, 46730, 60265, 
4, 6, 50, 2424, 46120, 60265, 
4, 6, 50, 2424, 45697, 60265, 
4, 6, 50, 2424, 46168, 60265, 
4, 6, 50, 2426, 46000, 60265, 
4, 6, 50, 2422, 46303, 60265, 
4, 6, 50, 2424, 46112, 60265, 
4, 6, 50, 2423, 46033, 60265, 
4, 6, 50, 2424, 46436, 60265, 
4, 6, 50, 2423, 46194, 60265, 
4, 6, 50, 2426, 46362, 60265, 
4, 6, 50, 2422, 45965, 60265, 
4, 6, 50, 2424, 46326, 60265, 
4, 6, 50, 2426, 45938, 60265, 
4, 6, 50, 2425, 46463, 60265, 
4, 6, 50, 2423, 45933, 60265, 
4, 6, 50, 2424, 45963, 60265, 
4, 6, 50, 2423, 46217, 60265, 
4, 6, 50, 2427, 45982, 60265, 
4, 6, 50, 2425, 46227, 60265, 
4, 6, 50, 2424, 46067, 60265, 
4, 6, 50, 2423, 46596, 60265, 
4, 6, 50, 2423, 46442, 60265, 
4, 6, 50, 2425, 46289, 60265, 
4, 6, 50, 2426, 46634, 60265, 
4, 6, 50, 2424, 46481, 60265, 
4, 6, 50, 2424, 46310, 60265, 
4, 6, 50, 2423, 46309, 60265, 
4, 6, 50, 2423, 45828, 60265, 
4, 6, 50, 2425, 46279, 60265, 
4, 6, 50, 2424, 46387, 60265, 
4, 6, 50, 2426, 46629, 60265, 
4, 6, 50, 2425, 46163, 60265, 
4, 6, 50, 2425, 46160, 60265, 
