depth, elements, relations, ram, duration, elements;
1, 6, 50, 79, 423, 649, 
1, 6, 50, 79, 389, 649, 
1, 6, 50, 79, 443, 649, 
1, 6, 50, 79, 376, 649, 
1, 6, 50, 79, 409, 649, 
1, 6, 50, 79, 360, 649, 
1, 6, 50, 79, 359, 649, 
1, 6, 50, 79, 357, 649, 
1, 6, 50, 79, 399, 649, 
1, 6, 50, 79, 416, 649, 
1, 6, 50, 79, 399, 649, 
1, 6, 50, 79, 390, 649, 
1, 6, 50, 79, 399, 649, 
1, 6, 50, 80, 413, 649, 
1, 6, 50, 79, 387, 649, 
1, 6, 50, 79, 384, 649, 
1, 6, 50, 79, 422, 649, 
1, 6, 50, 80, 416, 649, 
1, 6, 50, 79, 448, 649, 
1, 6, 50, 79, 418, 649, 
1, 6, 50, 79, 417, 649, 
1, 6, 50, 79, 377, 649, 
1, 6, 50, 80, 390, 649, 
1, 6, 50, 79, 386, 649, 
1, 6, 50, 80, 393, 649, 
1, 6, 50, 79, 392, 649, 
1, 6, 50, 79, 359, 649, 
1, 6, 50, 80, 384, 649, 
1, 6, 50, 79, 379, 649, 
1, 6, 50, 80, 420, 649, 
1, 6, 50, 79, 407, 649, 
1, 6, 50, 79, 442, 649, 
1, 6, 50, 79, 444, 649, 
1, 6, 50, 79, 427, 649, 
1, 6, 50, 79, 384, 649, 
1, 6, 50, 80, 363, 649, 
1, 6, 50, 79, 401, 649, 
1, 6, 50, 79, 407, 649, 
1, 6, 50, 80, 384, 649, 
1, 6, 50, 80, 417, 649, 
1, 6, 50, 79, 389, 649, 
1, 6, 50, 80, 409, 649, 
1, 6, 50, 79, 394, 649, 
1, 6, 50, 80, 433, 649, 
1, 6, 50, 79, 398, 649, 
1, 6, 50, 80, 372, 649, 
1, 6, 50, 79, 368, 649, 
1, 6, 50, 80, 425, 649, 
1, 6, 50, 79, 433, 649, 
1, 6, 50, 80, 406, 649, 
1, 6, 50, 79, 384, 649, 
1, 6, 50, 80, 400, 649, 
1, 6, 50, 79, 377, 649, 
1, 6, 50, 80, 405, 649, 
1, 6, 50, 80, 421, 649, 
1, 6, 50, 79, 367, 649, 
1, 6, 50, 80, 362, 649, 
1, 6, 50, 80, 421, 649, 
1, 6, 50, 80, 409, 649, 
1, 6, 50, 80, 414, 649, 
1, 6, 50, 79, 403, 649, 
1, 6, 50, 80, 399, 649, 
1, 6, 50, 80, 405, 649, 
1, 6, 50, 80, 374, 649, 
1, 6, 50, 80, 417, 649, 
1, 6, 50, 80, 429, 649, 
1, 6, 50, 80, 421, 649, 
1, 6, 50, 80, 379, 649, 
1, 6, 50, 80, 374, 649, 
1, 6, 50, 80, 424, 649, 
1, 6, 50, 80, 368, 649, 
1, 6, 50, 80, 463, 649, 
1, 6, 50, 80, 480, 649, 
1, 6, 50, 80, 393, 649, 
1, 6, 50, 80, 408, 649, 
1, 6, 50, 80, 421, 649, 
1, 6, 50, 80, 418, 649, 
1, 6, 50, 80, 391, 649, 
1, 6, 50, 80, 396, 649, 
1, 6, 50, 80, 418, 649, 
1, 6, 50, 80, 382, 649, 
1, 6, 50, 80, 463, 649, 
1, 6, 50, 80, 421, 649, 
1, 6, 50, 80, 409, 649, 
1, 6, 50, 80, 406, 649, 
1, 6, 50, 80, 405, 649, 
1, 6, 50, 80, 402, 649, 
1, 6, 50, 80, 356, 649, 
1, 6, 50, 80, 416, 649, 
