depth, elements, relations, ram, duration, elements;
1, 1, 50, 65, 1279, 614, 
1, 1, 50, 66, 702, 614, 
1, 1, 50, 66, 440, 614, 
1, 1, 50, 67, 427, 614, 
1, 1, 50, 66, 328, 614, 
1, 1, 50, 66, 340, 614, 
1, 1, 50, 66, 345, 614, 
1, 1, 50, 67, 335, 614, 
1, 1, 50, 66, 320, 614, 
1, 1, 50, 67, 371, 614, 
1, 1, 50, 66, 343, 614, 
1, 1, 50, 67, 372, 614, 
1, 1, 50, 66, 316, 614, 
1, 1, 50, 66, 336, 614, 
1, 1, 50, 66, 321, 614, 
1, 1, 50, 67, 330, 614, 
1, 1, 50, 67, 303, 614, 
1, 1, 50, 67, 341, 614, 
1, 1, 50, 67, 307, 614, 
1, 1, 50, 67, 323, 614, 
1, 1, 50, 67, 317, 614, 
1, 1, 50, 68, 309, 614, 
1, 1, 50, 67, 358, 614, 
1, 1, 50, 68, 313, 614, 
1, 1, 50, 67, 359, 614, 
1, 1, 50, 68, 419, 614, 
1, 1, 50, 67, 309, 614, 
1, 1, 50, 67, 314, 614, 
1, 1, 50, 67, 289, 614, 
1, 1, 50, 68, 314, 614, 
1, 1, 50, 67, 323, 614, 
1, 1, 50, 67, 354, 614, 
1, 1, 50, 67, 314, 614, 
1, 1, 50, 68, 351, 614, 
1, 1, 50, 67, 291, 614, 
1, 1, 50, 68, 288, 614, 
1, 1, 50, 67, 307, 614, 
1, 1, 50, 68, 283, 614, 
1, 1, 50, 67, 285, 614, 
1, 1, 50, 68, 279, 614, 
1, 1, 50, 67, 277, 614, 
1, 1, 50, 68, 270, 614, 
1, 1, 50, 67, 278, 614, 
1, 1, 50, 67, 284, 614, 
1, 1, 50, 68, 288, 614, 
1, 1, 50, 68, 297, 614, 
1, 1, 50, 67, 281, 614, 
1, 1, 50, 68, 285, 614, 
1, 1, 50, 67, 287, 614, 
1, 1, 50, 68, 294, 614, 
1, 1, 50, 67, 274, 614, 
1, 1, 50, 68, 286, 614, 
1, 1, 50, 67, 266, 614, 
1, 1, 50, 67, 293, 614, 
1, 1, 50, 67, 287, 614, 
1, 1, 50, 68, 281, 614, 
1, 1, 50, 68, 276, 614, 
1, 1, 50, 68, 274, 614, 
1, 1, 50, 68, 282, 614, 
1, 1, 50, 68, 285, 614, 
1, 1, 50, 67, 287, 614, 
1, 1, 50, 68, 303, 614, 
1, 1, 50, 67, 277, 614, 
1, 1, 50, 68, 261, 614, 
1, 1, 50, 67, 279, 614, 
1, 1, 50, 68, 275, 614, 
1, 1, 50, 68, 283, 614, 
1, 1, 50, 68, 279, 614, 
1, 1, 50, 68, 274, 614, 
1, 1, 50, 68, 278, 614, 
1, 1, 50, 68, 268, 614, 
1, 1, 50, 68, 277, 614, 
1, 1, 50, 67, 296, 614, 
1, 1, 50, 68, 279, 614, 
1, 1, 50, 68, 285, 614, 
1, 1, 50, 68, 308, 614, 
1, 1, 50, 68, 293, 614, 
1, 1, 50, 68, 330, 614, 
1, 1, 50, 68, 306, 614, 
1, 1, 50, 68, 317, 614, 
1, 1, 50, 68, 297, 614, 
1, 1, 50, 68, 327, 614, 
1, 1, 50, 68, 281, 614, 
1, 1, 50, 68, 308, 614, 
1, 1, 50, 68, 310, 614, 
1, 1, 50, 68, 315, 614, 
1, 1, 50, 68, 298, 614, 
1, 1, 50, 68, 286, 614, 
1, 1, 50, 68, 299, 614, 
1, 1, 50, 68, 296, 614, 
1, 1, 50, 68, 288, 614, 
1, 1, 50, 68, 280, 614, 
1, 1, 50, 68, 289, 614, 
1, 1, 50, 68, 324, 614, 
1, 1, 50, 68, 310, 614, 
1, 1, 50, 68, 329, 614, 
1, 1, 50, 68, 347, 614, 
1, 1, 50, 68, 273, 614, 
1, 1, 50, 68, 325, 614, 
1, 1, 50, 68, 292, 614, 
1, 1, 50, 68, 258, 614, 
1, 1, 50, 68, 271, 614, 
1, 1, 50, 68, 264, 614, 
1, 1, 50, 68, 273, 614, 
1, 1, 50, 68, 282, 614, 
1, 1, 50, 68, 324, 614, 
1, 1, 50, 68, 311, 614, 
1, 1, 50, 68, 305, 614, 
1, 1, 50, 68, 334, 614, 
1, 1, 50, 68, 315, 614, 
1, 1, 50, 68, 379, 614, 
1, 1, 50, 68, 325, 614, 
1, 1, 50, 68, 288, 614, 
1, 1, 50, 68, 332, 614, 
1, 1, 50, 68, 284, 614, 
1, 1, 50, 68, 307, 614, 
1, 1, 50, 68, 285, 614, 
1, 1, 50, 68, 294, 614, 
1, 1, 50, 68, 285, 614, 
1, 1, 50, 68, 282, 614, 
1, 1, 50, 68, 319, 614, 
1, 1, 50, 68, 270, 614, 
1, 1, 50, 68, 293, 614, 
1, 1, 50, 68, 257, 614, 
1, 1, 50, 68, 256, 614, 
1, 1, 50, 68, 269, 614, 
1, 1, 50, 68, 283, 614, 
1, 1, 50, 69, 294, 614, 
1, 1, 50, 68, 276, 614, 
1, 1, 50, 68, 291, 614, 
1, 1, 50, 68, 346, 614, 
1, 1, 50, 69, 281, 614, 
1, 1, 50, 68, 264, 614, 
1, 1, 50, 69, 283, 614, 
1, 1, 50, 68, 281, 614, 
1, 1, 50, 69, 289, 614, 
