depth, elements, relations, ram, duration, elements;
2, 5, 50, 103, 612, 942, 
2, 5, 50, 103, 636, 942, 
2, 5, 50, 103, 612, 942, 
2, 5, 50, 103, 586, 942, 
2, 5, 50, 103, 562, 942, 
2, 5, 50, 103, 644, 942, 
2, 5, 50, 103, 579, 942, 
2, 5, 50, 103, 619, 942, 
2, 5, 50, 103, 562, 942, 
2, 5, 50, 103, 578, 942, 
2, 5, 50, 103, 590, 942, 
2, 5, 50, 103, 594, 942, 
2, 5, 50, 103, 619, 942, 
2, 5, 50, 103, 586, 942, 
2, 5, 50, 103, 643, 942, 
2, 5, 50, 103, 606, 942, 
2, 5, 50, 103, 629, 942, 
2, 5, 50, 103, 593, 942, 
2, 5, 50, 103, 604, 942, 
2, 5, 50, 103, 604, 942, 
2, 5, 50, 103, 595, 942, 
2, 5, 50, 103, 638, 942, 
2, 5, 50, 103, 590, 942, 
2, 5, 50, 103, 616, 942, 
2, 5, 50, 103, 575, 942, 
2, 5, 50, 103, 594, 942, 
2, 5, 50, 103, 619, 942, 
2, 5, 50, 103, 582, 942, 
2, 5, 50, 103, 593, 942, 
2, 5, 50, 103, 571, 942, 
2, 5, 50, 104, 598, 942, 
2, 5, 50, 104, 613, 942, 
2, 5, 50, 103, 578, 942, 
2, 5, 50, 103, 574, 942, 
2, 5, 50, 103, 589, 942, 
2, 5, 50, 103, 584, 942, 
2, 5, 50, 103, 605, 942, 
2, 5, 50, 103, 585, 942, 
2, 5, 50, 103, 624, 942, 
2, 5, 50, 104, 592, 942, 
2, 5, 50, 104, 583, 942, 
2, 5, 50, 104, 611, 942, 
2, 5, 50, 104, 599, 942, 
2, 5, 50, 104, 597, 942, 
2, 5, 50, 104, 618, 942, 
2, 5, 50, 103, 609, 942, 
2, 5, 50, 104, 611, 942, 
2, 5, 50, 104, 560, 942, 
2, 5, 50, 103, 596, 942, 
2, 5, 50, 104, 588, 942, 
2, 5, 50, 104, 587, 942, 
2, 5, 50, 103, 653, 942, 
2, 5, 50, 104, 598, 942, 
2, 5, 50, 104, 576, 942, 
2, 5, 50, 103, 577, 942, 
2, 5, 50, 103, 578, 942, 
2, 5, 50, 104, 666, 942, 
2, 5, 50, 104, 578, 942, 
2, 5, 50, 104, 580, 942, 
2, 5, 50, 103, 634, 942, 
2, 5, 50, 104, 578, 942, 
2, 5, 50, 104, 597, 942, 
2, 5, 50, 104, 657, 942, 
2, 5, 50, 104, 591, 942, 
2, 5, 50, 104, 573, 942, 
2, 5, 50, 104, 585, 942, 
2, 5, 50, 104, 589, 942, 
2, 5, 50, 104, 649, 942, 
2, 5, 50, 104, 588, 942, 
2, 5, 50, 104, 603, 942, 
2, 5, 50, 104, 580, 942, 
2, 5, 50, 104, 587, 942, 
2, 5, 50, 104, 656, 942, 
2, 5, 50, 104, 613, 942, 
2, 5, 50, 104, 597, 942, 
2, 5, 50, 104, 583, 942, 
2, 5, 50, 104, 591, 942, 
2, 5, 50, 104, 624, 942, 
2, 5, 50, 104, 611, 942, 
2, 5, 50, 104, 577, 942, 
2, 5, 50, 104, 607, 942, 
2, 5, 50, 104, 601, 942, 
2, 5, 50, 104, 652, 942, 
2, 5, 50, 104, 579, 942, 
2, 5, 50, 104, 584, 942, 
2, 5, 50, 104, 588, 942, 
2, 5, 50, 104, 609, 942, 
2, 5, 50, 104, 586, 942, 
2, 5, 50, 104, 602, 942, 
2, 5, 50, 104, 584, 942, 
2, 5, 50, 104, 593, 942, 
2, 5, 50, 104, 600, 942, 
2, 5, 50, 104, 565, 942, 
2, 5, 50, 104, 611, 942, 
2, 5, 50, 104, 570, 942, 
2, 5, 50, 104, 565, 942, 
2, 5, 50, 104, 600, 942, 
2, 5, 50, 104, 616, 942, 
2, 5, 50, 104, 585, 942, 
2, 5, 50, 104, 591, 942, 
2, 5, 50, 104, 584, 942, 
2, 5, 50, 104, 577, 942, 
2, 5, 50, 104, 606, 942, 
2, 5, 50, 104, 643, 942, 
2, 5, 50, 104, 616, 942, 
2, 5, 50, 104, 603, 942, 
2, 5, 50, 104, 575, 942, 
2, 5, 50, 104, 577, 942, 
2, 5, 50, 104, 607, 942, 
2, 5, 50, 104, 621, 942, 
2, 5, 50, 104, 627, 942, 
2, 5, 50, 104, 606, 942, 
2, 5, 50, 104, 583, 942, 
2, 5, 50, 104, 610, 942, 
2, 5, 50, 104, 575, 942, 
2, 5, 50, 104, 576, 942, 
2, 5, 50, 104, 580, 942, 
2, 5, 50, 104, 566, 942, 
2, 5, 50, 105, 602, 942, 
2, 5, 50, 104, 595, 942, 
2, 5, 50, 104, 656, 942, 
2, 5, 50, 104, 566, 942, 
2, 5, 50, 104, 584, 942, 
2, 5, 50, 104, 579, 942, 
2, 5, 50, 104, 587, 942, 
2, 5, 50, 104, 596, 942, 
2, 5, 50, 104, 587, 942, 
2, 5, 50, 104, 620, 942, 
2, 5, 50, 104, 598, 942, 
2, 5, 50, 104, 588, 942, 
2, 5, 50, 104, 573, 942, 
2, 5, 50, 105, 596, 942, 
2, 5, 50, 104, 586, 942, 
2, 5, 50, 104, 629, 942, 
2, 5, 50, 104, 587, 942, 
2, 5, 50, 104, 584, 942, 
2, 5, 50, 104, 595, 942, 
2, 5, 50, 104, 607, 942, 
2, 5, 50, 105, 572, 942, 
2, 5, 50, 104, 602, 942, 
2, 5, 50, 104, 587, 942, 
2, 5, 50, 104, 622, 942, 
2, 5, 50, 105, 591, 942, 
2, 5, 50, 104, 621, 942, 
2, 5, 50, 104, 590, 942, 
2, 5, 50, 104, 565, 942, 
2, 5, 50, 104, 572, 942, 
2, 5, 50, 104, 584, 942, 
2, 5, 50, 105, 590, 942, 
2, 5, 50, 104, 570, 942, 
2, 5, 50, 104, 610, 942, 
2, 5, 50, 104, 591, 942, 
2, 5, 50, 104, 572, 942, 
