depth, elements, relations, ram, duration, elements;
2, 1, 50, 82, 337, 626, 
2, 1, 50, 82, 331, 626, 
2, 1, 50, 82, 290, 626, 
2, 1, 50, 82, 340, 626, 
2, 1, 50, 82, 326, 626, 
2, 1, 50, 82, 375, 626, 
2, 1, 50, 82, 334, 626, 
2, 1, 50, 82, 336, 626, 
2, 1, 50, 82, 312, 626, 
2, 1, 50, 82, 342, 626, 
2, 1, 50, 82, 354, 626, 
2, 1, 50, 82, 322, 626, 
2, 1, 50, 82, 344, 626, 
2, 1, 50, 82, 311, 626, 
2, 1, 50, 82, 311, 626, 
2, 1, 50, 82, 325, 626, 
2, 1, 50, 82, 314, 626, 
2, 1, 50, 82, 321, 626, 
2, 1, 50, 82, 324, 626, 
2, 1, 50, 82, 324, 626, 
2, 1, 50, 82, 322, 626, 
2, 1, 50, 82, 316, 626, 
2, 1, 50, 82, 339, 626, 
2, 1, 50, 82, 319, 626, 
2, 1, 50, 82, 319, 626, 
2, 1, 50, 82, 342, 626, 
2, 1, 50, 82, 357, 626, 
2, 1, 50, 82, 320, 626, 
2, 1, 50, 82, 317, 626, 
2, 1, 50, 82, 308, 626, 
2, 1, 50, 82, 314, 626, 
2, 1, 50, 82, 311, 626, 
2, 1, 50, 82, 305, 626, 
2, 1, 50, 82, 346, 626, 
2, 1, 50, 82, 335, 626, 
2, 1, 50, 82, 337, 626, 
2, 1, 50, 82, 324, 626, 
2, 1, 50, 82, 340, 626, 
2, 1, 50, 82, 312, 626, 
2, 1, 50, 82, 302, 626, 
2, 1, 50, 82, 313, 626, 
2, 1, 50, 82, 347, 626, 
2, 1, 50, 82, 300, 626, 
2, 1, 50, 82, 335, 626, 
2, 1, 50, 82, 318, 626, 
2, 1, 50, 82, 324, 626, 
2, 1, 50, 82, 325, 626, 
2, 1, 50, 82, 323, 626, 
2, 1, 50, 82, 335, 626, 
2, 1, 50, 82, 318, 626, 
2, 1, 50, 82, 340, 626, 
2, 1, 50, 82, 306, 626, 
2, 1, 50, 82, 313, 626, 
2, 1, 50, 82, 326, 626, 
2, 1, 50, 82, 325, 626, 
2, 1, 50, 82, 335, 626, 
2, 1, 50, 82, 306, 626, 
2, 1, 50, 82, 305, 626, 
2, 1, 50, 82, 359, 626, 
2, 1, 50, 83, 316, 626, 
2, 1, 50, 82, 291, 626, 
2, 1, 50, 82, 320, 626, 
2, 1, 50, 82, 329, 626, 
2, 1, 50, 82, 319, 626, 
2, 1, 50, 82, 350, 626, 
2, 1, 50, 82, 319, 626, 
2, 1, 50, 82, 309, 626, 
2, 1, 50, 82, 329, 626, 
2, 1, 50, 82, 318, 626, 
2, 1, 50, 82, 329, 626, 
2, 1, 50, 82, 309, 626, 
2, 1, 50, 82, 317, 626, 
2, 1, 50, 82, 301, 626, 
2, 1, 50, 82, 329, 626, 
2, 1, 50, 82, 311, 626, 
2, 1, 50, 83, 304, 626, 
2, 1, 50, 82, 328, 626, 
2, 1, 50, 83, 328, 626, 
2, 1, 50, 82, 324, 626, 
2, 1, 50, 83, 325, 626, 
2, 1, 50, 82, 316, 626, 
2, 1, 50, 83, 343, 626, 
2, 1, 50, 82, 314, 626, 
2, 1, 50, 83, 335, 626, 
2, 1, 50, 82, 334, 626, 
2, 1, 50, 82, 348, 626, 
2, 1, 50, 82, 312, 626, 
2, 1, 50, 82, 303, 626, 
2, 1, 50, 82, 297, 626, 
2, 1, 50, 82, 332, 626, 
2, 1, 50, 82, 321, 626, 
2, 1, 50, 83, 325, 626, 
2, 1, 50, 82, 328, 626, 
2, 1, 50, 83, 312, 626, 
2, 1, 50, 82, 314, 626, 
2, 1, 50, 82, 324, 626, 
2, 1, 50, 83, 320, 626, 
2, 1, 50, 83, 347, 626, 
2, 1, 50, 82, 329, 626, 
2, 1, 50, 82, 330, 626, 
2, 1, 50, 82, 326, 626, 
2, 1, 50, 83, 333, 626, 
2, 1, 50, 82, 303, 626, 
2, 1, 50, 82, 321, 626, 
2, 1, 50, 83, 329, 626, 
2, 1, 50, 83, 321, 626, 
2, 1, 50, 83, 313, 626, 
2, 1, 50, 82, 338, 626, 
2, 1, 50, 83, 315, 626, 
2, 1, 50, 83, 327, 626, 
2, 1, 50, 83, 324, 626, 
2, 1, 50, 83, 336, 626, 
2, 1, 50, 83, 326, 626, 
2, 1, 50, 83, 312, 626, 
2, 1, 50, 83, 302, 626, 
2, 1, 50, 83, 319, 626, 
2, 1, 50, 83, 328, 626, 
2, 1, 50, 83, 303, 626, 
2, 1, 50, 83, 321, 626, 
2, 1, 50, 83, 334, 626, 
2, 1, 50, 83, 302, 626, 
2, 1, 50, 83, 335, 626, 
2, 1, 50, 83, 316, 626, 
2, 1, 50, 83, 327, 626, 
2, 1, 50, 83, 301, 626, 
2, 1, 50, 83, 313, 626, 
2, 1, 50, 83, 308, 626, 
2, 1, 50, 83, 334, 626, 
2, 1, 50, 83, 342, 626, 
2, 1, 50, 83, 349, 626, 
2, 1, 50, 83, 298, 626, 
2, 1, 50, 83, 344, 626, 
2, 1, 50, 83, 324, 626, 
2, 1, 50, 83, 311, 626, 
2, 1, 50, 83, 314, 626, 
2, 1, 50, 83, 316, 626, 
2, 1, 50, 83, 305, 626, 
2, 1, 50, 83, 350, 626, 
2, 1, 50, 83, 297, 626, 
2, 1, 50, 83, 322, 626, 
2, 1, 50, 83, 305, 626, 
2, 1, 50, 83, 315, 626, 
2, 1, 50, 83, 312, 626, 
2, 1, 50, 83, 310, 626, 
2, 1, 50, 83, 290, 626, 
2, 1, 50, 83, 346, 626, 
2, 1, 50, 83, 307, 626, 
2, 1, 50, 83, 323, 626, 
2, 1, 50, 83, 307, 626, 
2, 1, 50, 83, 321, 626, 
2, 1, 50, 83, 311, 626, 
2, 1, 50, 83, 336, 626, 
2, 1, 50, 83, 314, 626, 
2, 1, 50, 83, 343, 626, 
2, 1, 50, 83, 320, 626, 
2, 1, 50, 83, 311, 626, 
2, 1, 50, 83, 326, 626, 
2, 1, 50, 83, 310, 626, 
2, 1, 50, 83, 315, 626, 
2, 1, 50, 83, 315, 626, 
2, 1, 50, 83, 317, 626, 
2, 1, 50, 83, 303, 626, 
2, 1, 50, 83, 302, 626, 
2, 1, 50, 83, 316, 626, 
2, 1, 50, 83, 301, 626, 
2, 1, 50, 83, 334, 626, 
2, 1, 50, 83, 306, 626, 
2, 1, 50, 83, 336, 626, 
2, 1, 50, 83, 291, 626, 
2, 1, 50, 83, 325, 626, 
2, 1, 50, 83, 298, 626, 
2, 1, 50, 83, 323, 626, 
2, 1, 50, 83, 347, 626, 
2, 1, 50, 84, 322, 626, 
2, 1, 50, 83, 322, 626, 
2, 1, 50, 83, 339, 626, 
2, 1, 50, 83, 312, 626, 
2, 1, 50, 84, 312, 626, 
2, 1, 50, 83, 361, 626, 
2, 1, 50, 84, 324, 626, 
2, 1, 50, 83, 320, 626, 
2, 1, 50, 83, 317, 626, 
2, 1, 50, 83, 314, 626, 
2, 1, 50, 83, 311, 626, 
2, 1, 50, 83, 324, 626, 
2, 1, 50, 83, 321, 626, 
2, 1, 50, 83, 314, 626, 
2, 1, 50, 84, 350, 626, 
2, 1, 50, 83, 307, 626, 
2, 1, 50, 83, 322, 626, 
2, 1, 50, 83, 333, 626, 
2, 1, 50, 83, 330, 626, 
2, 1, 50, 83, 305, 626, 
2, 1, 50, 83, 320, 626, 
2, 1, 50, 83, 311, 626, 
2, 1, 50, 83, 321, 626, 
2, 1, 50, 83, 329, 626, 
2, 1, 50, 83, 332, 626, 
2, 1, 50, 83, 319, 626, 
2, 1, 50, 83, 336, 626, 
