depth, elements, relations, ram, duration, elements;
3, 5, 50, 225, 2601, 3692, 
3, 5, 50, 226, 2620, 3692, 
3, 5, 50, 226, 2554, 3692, 
3, 5, 50, 226, 2666, 3692, 
3, 5, 50, 226, 2745, 3692, 
3, 5, 50, 226, 2617, 3692, 
3, 5, 50, 226, 2573, 3692, 
3, 5, 50, 226, 2609, 3692, 
3, 5, 50, 226, 2689, 3692, 
3, 5, 50, 225, 2607, 3692, 
3, 5, 50, 225, 2603, 3692, 
3, 5, 50, 225, 2622, 3692, 
3, 5, 50, 226, 2613, 3692, 
3, 5, 50, 226, 2650, 3692, 
3, 5, 50, 226, 2621, 3692, 
3, 5, 50, 226, 2715, 3692, 
3, 5, 50, 226, 2685, 3692, 
3, 5, 50, 225, 2614, 3692, 
3, 5, 50, 226, 2581, 3692, 
3, 5, 50, 226, 2558, 3692, 
3, 5, 50, 226, 2644, 3692, 
3, 5, 50, 226, 2558, 3692, 
3, 5, 50, 226, 2590, 3692, 
3, 5, 50, 226, 2656, 3692, 
3, 5, 50, 225, 2584, 3692, 
3, 5, 50, 226, 2593, 3692, 
3, 5, 50, 225, 2569, 3692, 
3, 5, 50, 226, 2530, 3692, 
3, 5, 50, 226, 2608, 3692, 
3, 5, 50, 226, 2634, 3692, 
3, 5, 50, 226, 2695, 3692, 
3, 5, 50, 226, 2573, 3692, 
3, 5, 50, 226, 2574, 3692, 
3, 5, 50, 226, 2742, 3692, 
3, 5, 50, 226, 2529, 3692, 
3, 5, 50, 227, 2581, 3692, 
3, 5, 50, 226, 2628, 3692, 
3, 5, 50, 226, 2578, 3692, 
3, 5, 50, 226, 2650, 3692, 
3, 5, 50, 226, 2647, 3692, 
3, 5, 50, 226, 2554, 3692, 
3, 5, 50, 226, 2585, 3692, 
3, 5, 50, 226, 2553, 3692, 
3, 5, 50, 227, 2546, 3692, 
3, 5, 50, 226, 2596, 3692, 
3, 5, 50, 226, 2683, 3692, 
3, 5, 50, 226, 2646, 3692, 
3, 5, 50, 226, 2648, 3692, 
3, 5, 50, 226, 2601, 3692, 
3, 5, 50, 227, 2682, 3692, 
3, 5, 50, 227, 2585, 3692, 
3, 5, 50, 225, 2625, 3692, 
3, 5, 50, 226, 2600, 3692, 
3, 5, 50, 226, 2630, 3692, 
3, 5, 50, 226, 2632, 3692, 
3, 5, 50, 226, 2623, 3692, 
3, 5, 50, 227, 2599, 3692, 
3, 5, 50, 226, 2541, 3692, 
3, 5, 50, 226, 2643, 3692, 
3, 5, 50, 226, 2581, 3692, 
3, 5, 50, 226, 2624, 3692, 
3, 5, 50, 226, 2579, 3692, 
3, 5, 50, 226, 2610, 3692, 
3, 5, 50, 226, 2608, 3692, 
3, 5, 50, 226, 2589, 3692, 
3, 5, 50, 226, 2581, 3692, 
3, 5, 50, 227, 2584, 3692, 
3, 5, 50, 226, 2642, 3692, 
3, 5, 50, 226, 2574, 3692, 
3, 5, 50, 226, 2649, 3692, 
3, 5, 50, 226, 2690, 3692, 
3, 5, 50, 227, 2575, 3692, 
3, 5, 50, 226, 2590, 3692, 
3, 5, 50, 227, 2671, 3692, 
3, 5, 50, 227, 2635, 3692, 
3, 5, 50, 227, 2664, 3692, 
3, 5, 50, 227, 2598, 3692, 
3, 5, 50, 226, 2577, 3692, 
3, 5, 50, 227, 2561, 3692, 
3, 5, 50, 226, 2550, 3692, 
3, 5, 50, 227, 2580, 3692, 
3, 5, 50, 226, 2654, 3692, 
3, 5, 50, 226, 2570, 3692, 
3, 5, 50, 226, 2639, 3692, 
3, 5, 50, 226, 2626, 3692, 
3, 5, 50, 227, 2635, 3692, 
3, 5, 50, 226, 2613, 3692, 
3, 5, 50, 227, 2614, 3692, 
3, 5, 50, 226, 2633, 3692, 
3, 5, 50, 227, 2698, 3692, 
3, 5, 50, 227, 2599, 3692, 
3, 5, 50, 228, 2656, 3692, 
3, 5, 50, 227, 2665, 3692, 
3, 5, 50, 227, 2648, 3692, 
3, 5, 50, 227, 2584, 3692, 
3, 5, 50, 226, 2535, 3692, 
3, 5, 50, 226, 2607, 3692, 
3, 5, 50, 227, 2646, 3692, 
3, 5, 50, 227, 2579, 3692, 
3, 5, 50, 226, 2627, 3692, 
3, 5, 50, 226, 2570, 3692, 
3, 5, 50, 227, 2658, 3692, 
3, 5, 50, 226, 2602, 3692, 
3, 5, 50, 226, 2620, 3692, 
3, 5, 50, 227, 2650, 3692, 
3, 5, 50, 227, 2537, 3692, 
3, 5, 50, 228, 2588, 3692, 
3, 5, 50, 226, 2610, 3692, 
3, 5, 50, 227, 2603, 3692, 
3, 5, 50, 227, 2659, 3692, 
3, 5, 50, 226, 2593, 3692, 
3, 5, 50, 227, 2643, 3692, 
3, 5, 50, 227, 2569, 3692, 
